timestamps,TP9,AF7,AF8,TP10,Right AUX
1700264826.069,999.512,9.277,-204.590,708.008,0.000
1700264826.073,378.418,-63.477,-337.402,672.363,0.000
1700264826.077,-1000.000,-131.348,-612.793,-564.453,0.000
1700264826.081,-159.668,-79.102,-511.719,-692.871,0.000
1700264826.085,999.512,-2.930,-200.684,456.543,0.000
1700264826.089,776.855,-43.457,-288.574,861.816,0.000
1700264826.093,-705.566,-119.141,-568.848,-222.168,0.000
1700264826.096,-437.988,-106.934,-551.758,-842.773,0.000
1700264826.100,999.512,-48.828,-351.562,210.449,0.000
1700264826.104,999.512,-69.336,-354.492,980.469,0.000
1700264826.108,-203.613,-139.160,-603.027,230.957,0.000
1700264826.112,-812.500,-119.141,-565.918,-866.211,0.000
1700264826.116,607.910,-41.504,-333.984,-142.090,0.000
1700264826.120,999.512,-20.508,-175.293,908.203,0.000
1700264826.124,47.852,-93.750,-296.387,520.996,0.000
1700264826.128,-1000.000,-157.715,-596.680,-660.156,0.000
1700264826.132,85.449,-106.445,-502.930,-376.953,0.000
1700264826.136,999.512,-53.711,-224.121,776.367,0.000
1700264826.139,400.391,-73.242,-133.789,812.500,0.000
1700264826.143,-1000.000,-149.414,-487.305,-344.238,0.000
1700264826.147,-280.273,-144.531,-571.777,-552.246,0.000
1700264826.151,999.512,-99.609,-421.387,596.680,0.000
1700264826.155,702.148,-69.824,-151.367,999.512,0.000
1700264826.159,-770.508,-116.211,-264.160,-32.715,0.000
1700264826.163,-580.078,-162.598,-623.535,-707.031,0.000
1700264826.167,890.625,-88.379,-396.973,249.023,0.000
1700264826.171,999.512,-38.574,-15.625,999.512,0.000
1700264826.175,-270.508,-106.934,-214.844,399.902,0.000
1700264826.178,-903.809,-178.223,-638.184,-635.254,0.000
1700264826.182,462.402,-112.305,-449.219,-41.016,0.000
1700264826.186,999.512,-46.387,-86.914,966.797,0.000
1700264826.190,117.676,-86.426,-133.301,701.172,0.000
1700264826.194,-1000.000,-208.008,-658.203,-416.504,0.000
1700264826.198,39.551,-186.035,-693.848,-258.789,0.000
1700264826.202,999.512,-59.570,-244.141,783.691,0.000
1700264826.206,558.594,-51.270,-40.039,951.172,0.000
1700264826.210,-943.848,-158.203,-363.770,-116.211,0.000
1700264826.214,-333.496,-152.344,-454.102,-507.324,0.000
1700264826.217,999.512,-59.570,-195.312,540.039,0.000
1700264826.222,906.250,-68.848,-55.176,999.512,0.000
1700264826.225,-478.516,-144.531,-313.965,267.090,0.000
1700264826.229,-651.855,-155.273,-552.246,-611.328,0.000
1700264826.233,853.516,-75.195,-280.762,240.723,0.000
1700264826.237,999.512,-62.500,-46.387,999.512,0.000
1700264826.241,-270.020,-145.996,-337.402,472.656,0.000
1700264826.245,-981.934,-193.848,-643.555,-502.930,0.000
1700264826.249,294.922,-104.492,-354.980,-79.590,0.000
1700264826.253,999.512,-32.715,-31.738,941.895,0.000
1700264826.257,212.891,-99.121,-278.809,794.922,0.000
1700264826.260,-1000.000,-144.531,-544.922,-382.324,0.000
1700264826.264,-149.902,-97.656,-399.414,-391.113,0.000
1700264826.268,999.512,-63.477,-273.926,737.305,0.000
1700264826.272,593.750,-71.289,-192.383,997.070,0.000
1700264826.276,-923.340,-128.418,-350.098,-34.668,0.000
1700264826.280,-410.645,-134.277,-525.879,-541.992,0.000
1700264826.284,999.512,-61.523,-322.266,475.098,0.000
1700264826.288,942.383,-40.039,-267.090,999.512,0.000
1700264826.292,-393.066,-116.211,-487.793,331.055,0.000
1700264826.296,-734.375,-153.320,-641.113,-618.164,0.000
1700264826.300,705.078,-102.539,-574.707,156.738,0.000
1700264826.303,999.512,-55.176,-238.770,999.512,0.000
1700264826.307,-28.809,-50.293,-110.840,585.938,0.000
1700264826.311,-1000.000,-121.094,-542.969,-536.621,0.000
1700264826.315,219.238,-78.125,-437.988,-172.852,0.000
1700264826.319,999.512,-19.043,-229.492,886.719,0.000
1700264826.323,390.625,-43.945,-236.328,847.656,0.000
1700264826.327,-1000.000,-120.117,-506.348,-278.320,0.000
1700264826.331,-177.246,-109.863,-518.555,-378.906,0.000
1700264826.335,999.512,-41.992,-279.297,718.262,0.000
1700264826.339,773.438,-21.973,-62.500,999.512,0.000
1700264826.343,-700.195,-98.145,-333.008,76.660,0.000
1700264826.346,-424.805,-145.508,-629.395,-511.230,0.000
1700264826.350,997.559,-33.203,-188.965,389.648,0.000
1700264826.354,999.512,2.930,80.078,999.512,0.000
1700264826.358,-184.570,-103.027,-347.168,459.961,0.000
1700264826.362,-795.410,-145.020,-674.805,-540.527,0.000
1700264826.366,597.168,-47.363,-218.750,49.316,0.000
1700264826.370,999.512,-7.324,85.938,999.512,0.000
1700264826.374,155.273,-84.473,-208.496,713.379,0.000
1700264826.378,-967.773,-150.879,-575.684,-369.141,0.000
1700264826.382,220.703,-88.379,-445.312,-163.574,0.000
1700264826.386,999.512,-36.621,-208.984,837.891,0.000
1700264826.389,595.215,-106.445,-396.973,939.941,0.000
1700264826.393,-879.395,-175.781,-696.289,-182.129,0.000
1700264826.397,-265.137,-83.984,-427.246,-606.934,0.000
1700264826.401,999.512,-16.602,-188.965,480.469,0.000
1700264826.405,918.945,-33.691,-133.301,999.512,0.000
1700264826.409,-493.652,-98.145,-391.113,88.379,0.000
1700264826.413,-522.949,-121.094,-543.945,-711.426,0.000
1700264826.417,927.246,-56.641,-293.457,168.945,0.000
1700264826.421,999.512,-24.902,-93.750,992.676,0.000
1700264826.425,-80.566,-69.824,-258.789,350.098,0.000
1700264826.429,-841.309,-127.930,-570.801,-729.980,0.000
1700264826.432,492.676,-80.566,-436.523,-220.703,0.000
1700264826.436,999.512,-65.430,-292.480,817.383,0.000
1700264826.440,201.660,-75.684,-311.035,550.293,0.000
1700264826.444,-1000.000,-108.398,-494.141,-683.594,0.000
1700264826.448,-37.598,-97.168,-510.742,-566.895,0.000
1700264826.452,999.512,-37.598,-211.426,575.195,0.000
1700264826.456,594.727,-33.691,-2.441,760.742,0.000
1700264826.460,-909.668,-113.281,-410.645,-342.285,0.000
1700264826.464,-366.211,-130.859,-645.508,-778.320,0.000
1700264826.468,999.512,-51.270,-368.652,220.215,0.000
1700264826.472,885.742,-31.250,-212.402,768.555,0.000
1700264826.475,-506.836,-129.883,-476.074,-123.535,0.000
1700264826.479,-689.941,-195.312,-745.117,-984.863,0.000
1700264826.483,780.762,-128.418,-617.676,-242.676,0.000
1700264826.487,999.512,-33.203,-260.742,552.246,0.000
1700264826.491,-163.086,-92.285,-430.176,63.477,0.000
1700264826.495,-1000.000,-176.270,-741.211,-981.934,0.000
1700264826.499,210.449,-100.098,-528.809,-626.465,0.000
1700264826.503,999.512,-13.672,-226.074,426.758,0.000
1700264826.507,196.289,-53.711,-339.844,405.762,0.000
1700264826.511,-1000.000,-142.090,-693.848,-695.801,0.000
1700264826.514,-184.082,-97.656,-557.129,-753.906,0.000
1700264826.518,999.512,-25.879,-303.711,346.191,0.000
1700264826.522,558.594,-64.453,-413.086,759.277,0.000
1700264826.526,-890.137,-168.457,-684.082,-204.590,0.000
1700264826.530,-511.719,-139.160,-629.883,-821.289,0.000
1700264826.534,965.332,-20.996,-359.375,111.328,0.000
1700264826.538,902.344,-23.926,-301.758,867.676,0.000
